Geo Point;Geo Shape;TYP
47.4433363354,9.40823753094;"{""type"": ""Point"", ""coordinates"": [9.408237530936027, 47.44333633543086]}";Kandelaberleuchte
47.4407081814,9.39092639182;"{""type"": ""Point"", ""coordinates"": [9.390926391824353, 47.44070818142456]}";Kandelaberleuchte
47.4373351608,9.38948462406;"{""type"": ""Point"", ""coordinates"": [9.389484624056058, 47.43733516078756]}";Kandelaberleuchte
47.414518262,9.40005975885;"{""type"": ""Point"", ""coordinates"": [9.400059758853713, 47.41451826203117]}";Kandelaberleuchte
47.4143984699,9.39959370157;"{""type"": ""Point"", ""coordinates"": [9.399593701565419, 47.41439846992509]}";Kandelaberleuchte
47.4142895797,9.39567700296;"{""type"": ""Point"", ""coordinates"": [9.39567700295811, 47.41428957973631]}";Kandelaberleuchte
47.4148128975,9.39695341641;"{""type"": ""Point"", ""coordinates"": [9.396953416413451, 47.41481289751897]}";Kandelaberleuchte
47.4152025126,9.39507154731;"{""type"": ""Point"", ""coordinates"": [9.395071547306626, 47.41520251262472]}";Kandelaberleuchte
47.4149620534,9.39647000334;"{""type"": ""Point"", ""coordinates"": [9.396470003337758, 47.41496205341478]}";Kandelaberleuchte
47.4158447977,9.39166500312;"{""type"": ""Point"", ""coordinates"": [9.391665003119774, 47.41584479766008]}";Kandelaberleuchte
47.4202568604,9.37362143909;"{""type"": ""Point"", ""coordinates"": [9.373621439089119, 47.42025686043665]}";Kandelaberleuchte
47.420967882,9.37393572521;"{""type"": ""Point"", ""coordinates"": [9.373935725214176, 47.420967881957246]}";Kandelaberleuchte
47.4400421156,9.39728179994;"{""type"": ""Point"", ""coordinates"": [9.397281799936831, 47.44004211555116]}";Kandelaberleuchte
47.4398664097,9.39765596055;"{""type"": ""Point"", ""coordinates"": [9.39765596054511, 47.439866409715805]}";Kandelaberleuchte
47.4266259929,9.37814085001;"{""type"": ""Point"", ""coordinates"": [9.378140850008927, 47.42662599287464]}";Kandelaberleuchte
47.4276766789,9.38021836175;"{""type"": ""Point"", ""coordinates"": [9.380218361750426, 47.4276766789342]}";Kandelaberleuchte
47.4290310691,9.37773628734;"{""type"": ""Point"", ""coordinates"": [9.377736287335376, 47.42903106914391]}";Kandelaberleuchte
